Position_Id,Instrument_Type,Instrument_Name,Asset_Class,Currency,Notional,Market_Value,Delta,Volatility,Gamma,Vega,Theta,Rho
MSFT-001,Equity,MSFT,Equity,USD,35604840,-6166014.577,-1.423825036,0.29472356208817946,-0.000289312,-0.265307208,-0.000680108,0.006969047
US 10Y Treasury-001,Bond,US 10Y Treasury,Rates,USD,3694128,8225395.78,0.7582370748774662,0.051668935346607575,1.607408520942018e-05,0.00685087,-0.001143935,0.099530329
US 10Y Treasury-002,Bond,US 10Y Treasury,Rates,USD,20366766,-9614017.355,-0.522397043,0.4410469924565785,9.215238952415842e-06,-0.019551814,-0.003771127,0.016651851817026716
AAPL Call Option-001,Equity Option,AAPL Call Option,Equity,USD,23766269,3068638.483487243,-0.207338588,0.36072497722733005,0.018143209,0.5770257399148899,-0.21003216,-0.044318928
EUR/USD-001,FX Forward,EUR/USD,FX,USD,3995090,-2311821.382,-0.090411968,0.5656492800173444,0.000741631,-0.048947361,-0.001323046,0.046593369615857576
US 10Y Treasury-003,Bond,US 10Y Treasury,Rates,USD,27111610,3452974.7886474226,-0.444530791,0.3768276688826842,0.000316359,0.060750065,-0.004568134,-0.077450632
MSFT-002,Equity,MSFT,Equity,USD,36419445,1773834.407268092,-1.367792702,0.5960708516410014,-0.001248066,0.5813268408352738,-0.004339119,-0.006258167
AAPL Call Option-002,Equity Option,AAPL Call Option,Equity,USD,49233641,-5530024.913,0.519114242,0.5196005995248097,0.008018288,0.11463310369834091,-0.073318843,0.032199229
MSFT-003,Equity,MSFT,Equity,USD,23039708,6944189.751467772,0.361058113,0.5744788646982242,-0.000258365,0.1860651550222343,0.021249488487544304,0.00981838
AAPL Call Option-003,Equity Option,AAPL Call Option,Equity,USD,16316761,-161192.3478,-1.56229045,0.2302145242067714,0.003088525,0.000582984,-0.018671932,-0.089852141
EUR/USD-002,FX Forward,EUR/USD,FX,USD,8524990,6450720.378269434,2.816891585254622,0.13213479712199655,4.7410481957963856e-05,0.076431791,-0.003565152,0.010184666
WTI Crude Oil-001,Commodity Future,WTI Crude Oil,Commodity,USD,7138170,-1879749.276,0.9684969057519236,0.48827966258731886,0.003370135,0.8587108313569207,0.010927525264033441,-0.027913351
Bund 10Y-001,Bond,Bund 10Y,Rates,EUR,17739435,9693711.078304783,-0.455632308,0.4824084066330228,-0.000592156,0.007226191,0.000657667,0.2665164204273021
Gold-001,Commodity Future,Gold,Commodity,USD,47309261,5409787.170025926,0.9021982742122517,0.16629691667305974,0.00013507,-0.491818877,-0.009188681,-0.011068904
WTI Crude Oil-002,Commodity Future,WTI Crude Oil,Commodity,USD,29317951,9319004.102,-0.466953173,0.47060955977420194,-0.000803356,0.3386472017019169,-0.001518925,0.013953187317074272
USD/JPY-001,FX Forward,USD/JPY,FX,USD,9763464,286529.5781971775,-0.072827422,0.37008534692277334,0.000230753,0.032152839,0.007501066,0.041302589
MSFT-004,Equity,MSFT,Equity,USD,3901082,-526177.3542,0.7888443445192008,0.11023882969592014,9.288377921902226e-05,-0.115287616,-0.004004715,-0.005255136
USD/JPY-002,FX Forward,USD/JPY,FX,USD,20223884,5109076.1865051575,-1.50800176,0.32598097866361475,0.000928746,-0.126054834,-0.00046449,-0.041892209
WTI Crude Oil-003,Commodity Future,WTI Crude Oil,Commodity,USD,40351106,7605825.2602686025,0.5758575143959287,0.5621259004612732,-0.000372328,0.2724123497811092,-0.025784394,-0.029674575
AAPL Call Option-004,Equity Option,AAPL Call Option,Equity,USD,12417876,9282915.917311162,1.1191831957789755,0.3285516499948758,-0.01221212,-1.007591869,0.16793400235355685,0.012707354301014296
Gold-002,Commodity Future,Gold,Commodity,USD,11195868,-3508961.879,1.3222980607327857,0.4837844442544096,0.000358192,0.35938322066776274,0.006198762,0.033385342
Gold-003,Commodity Future,Gold,Commodity,USD,36860109,5974091.476852778,-0.299698515,0.065900493,4.005373105326698e-05,0.072611489,-0.025814557,0.016141192978574657
AAPL-001,Equity,AAPL,Equity,USD,36160500,-5787088.047,0.9029193414250598,0.45044477707442643,-0.004875607,-0.309203705,0.005662161,0.001815283
Gold-004,Commodity Future,Gold,Commodity,USD,10124015,911486.9349089041,-1.621582734,0.5707605623756125,0.003048236,0.06740098,-0.016847095,-0.021246642
Bund 10Y-002,Bond,Bund 10Y,Rates,EUR,12581158,-6403037.032,-0.094913556,0.32474028169111463,-0.000310803,0.038777119646177166,-0.004010676,0.2617738606483583
Gold-005,Commodity Future,Gold,Commodity,USD,583075,-3052052.765,0.44948393210667503,0.23574045216407252,0.001023774,-0.090284882,-0.016799258,-0.01292151
WTI Crude Oil-004,Commodity Future,WTI Crude Oil,Commodity,USD,12448378,8627167.344129186,-1.343601072,0.40565777768779343,0.001400347,-0.355003807,-0.024711131,0.029235949
AAPL-002,Equity,AAPL,Equity,USD,32547283,-7078186.005,-0.081687591,0.5539436683012706,0.003597342,0.092456208,-0.02498445,-0.006583946
WTI Crude Oil-005,Commodity Future,WTI Crude Oil,Commodity,USD,32069752,2648017.9027039297,1.7247399323163304,0.1472233077933386,6.697346055427665e-05,0.4894933882610605,-0.020441724,0.004354643
WTI Crude Oil-006,Commodity Future,WTI Crude Oil,Commodity,USD,10265918,1859085.4585480671,2.618159426,0.27203181551249034,-0.000689192,-0.088407343,0.002628889,0.001946503
EUR/USD Call Option-001,FX Option,EUR/USD Call Option,FX,USD,8815978,-7585232.946,0.6218890750486145,0.13595965454001263,-0.00529904,-0.496774998,-0.163084323,0.13347569425780137
TSLA-001,Equity,TSLA,Equity,USD,28194575,-3480419.125,0.8286331955673406,0.323159828,0.001913688,-0.264379362,-0.003007604,-0.00480058
